plot,Antennaria_parvifolia,Artemisia_cana,Artemisia_frigida,Symphyotrichum_ericoides_var._ericoides,Bouteloua_gracilis,Carex_filifolia,Elymus_lanceolatus,Erysimum_inconspicuum,Heterotheca_villosa,Koeleria_macrantha,Penstemon_nitidus,Phlox_hoodii,Poa_secunda,Hesperostipa_comata_ssp._comata,Taraxacum_officinale,Thermopsis_rhombifolia,Achillea_millefolium,Allium_textile,Symphyotrichum_falcatum_var._falcatum,Astragalus_bisulcatus,Krascheninnikovia_lanata,Gutierrezia_sarothrae,Hymenoxys_richardsonii,Musineon_divaricatum,Plantago_patagonica,Sphaeralcea_coccinea,Nassella_viridula,Androsace_occidentalis,Arnica_fulgens,Penstemon_confertus,Vicia_americana,Zigadenus_venenosus,Tragopogon_dubius,Machaeranthera_pinnatifida_var._pinnatifida,Erigeron_pumilus,Linum_lewisii,Amelanchier_alnifolia,Artemisia_ludoviciana,Symphyotrichum_laeve_var._laeve,Astragalus_australis,Carex_obtusata,Cerastium_arvense,Chenopodium_album,Comandra_umbellata,Descurainia_sophia,Draba_nemorosa,Elymus_repens,Festuca_hallii,Galium_circaezans_var._circaezans,Heuchera_richardsonii,Lactuca_tatarica_var._pulchella,Lepidium_densiflorum,Oxytropis_sericea,Poa_pratensis,Rosa_arkansana,Hesperostipa_spartea,Symphoricarpos_occidentalis,Viola_adunca,Pulsatilla_patens,Symphyotrichum_ciliolatum,Astragalus_agrestis,Solidago_missouriensis,Arnica_sororia,Danthonia_intermedia,Erigeron_glabellus,Potentilla_arguta,Oligoneuron_rigidum_var._rigidum,Dalea_purpurea,Antennaria_neglecta,Penstemon_procerus,Poa_cusickii,Bromus_inermis,Campanula_rotundifolia,Lathyrus_venosus,Elaeagnus_commutata,Orthocarpus_luteus
mix-O-1,10,10,50,10,70,80,10,20,10,90,10,60,80,90,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix-O-2,0,10,50,10,90,30,70,0,0,30,0,30,70,10,0,10,10,10,20,10,20,10,10,20,50,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix-O-3,20,20,30,10,60,60,90,0,0,20,0,0,100,30,20,0,30,0,0,0,0,0,0,20,30,30,10,20,30,10,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix-O-4,0,0,0,0,90,90,0,0,0,40,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix-O-5,0,10,0,0,100,100,10,0,0,0,0,0,30,80,0,0,0,0,0,0,30,0,0,0,0,20,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix-O-6,0,0,60,0,70,100,50,0,0,40,0,50,50,100,30,0,0,0,0,0,10,0,0,0,20,50,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix-O-7,0,0,20,0,50,90,60,20,0,70,0,20,20,80,0,20,0,0,0,0,10,0,0,20,0,0,0,0,10,0,0,20,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fes-K-8,0,0,0,0,10,0,10,0,0,10,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,10,70,0,0,0,0,0,0,0,0,10,20,70,20,100,20,20,60,10,10,20,80,30,10,20,10,30,60,80,80,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fes-K-9,0,0,0,0,20,0,10,0,0,10,0,0,0,0,0,50,40,0,0,0,0,0,0,0,0,0,30,60,0,0,10,0,0,0,0,0,0,0,20,0,100,10,40,60,0,0,0,50,100,0,0,0,0,80,20,100,60,0,10,20,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fes-K-10,70,0,50,0,90,0,100,0,0,100,0,0,0,0,0,0,40,30,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,100,10,20,20,0,10,0,40,0,0,0,0,0,20,0,0,0,0,20,0,20,0,10,50,100,40,10,0,0,0,0,0,0,0,0,0
fes-K-11,0,0,60,0,70,0,50,0,0,90,0,0,0,0,0,30,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,70,0,60,80,0,30,0,30,0,0,10,0,10,10,40,100,0,0,20,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
fes-K-12,0,0,20,0,0,0,20,0,0,80,0,0,0,0,0,10,40,10,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,30,20,0,100,30,50,70,0,20,50,70,50,0,30,0,0,60,20,20,20,20,10,0,0,20,0,0,30,0,0,0,20,10,10,0,0,0,0,0
fes-K-13,0,0,30,0,0,0,30,0,0,80,0,0,0,0,0,60,0,10,30,0,0,0,0,0,0,0,70,40,0,0,0,0,0,0,0,0,10,0,70,0,100,0,60,40,0,0,0,30,40,0,0,0,0,60,60,50,20,0,20,0,20,10,0,0,0,0,0,0,0,0,20,10,10,0,0,0
fes-K-14,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,60,40,10,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,70,0,0,70,0,0,0,0,0,0,100,100,0,0,0,0,100,30,0,10,0,0,0,30,0,0,0,0,10,10,0,0,0,80,0,30,10,0,0
fes-K-15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,30,0,20,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0,50,10,0,10,0,0,0,100,30,0,70,0,0,100,20,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,10,0,20,0
fes-K-16,0,0,20,0,40,0,10,0,0,100,0,0,0,0,0,0,10,0,30,0,0,0,0,0,0,0,10,60,0,0,0,0,0,0,0,0,0,40,0,0,100,10,100,50,0,0,20,30,40,0,0,10,0,20,60,100,30,0,20,0,0,40,0,0,20,0,0,0,30,20,0,0,0,0,0,60
fes-K-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,90,30,0,50,0,0,0,0,0,0,100,100,10,0,0,0,100,40,0,0,0,0,0,10,60,0,0,0,10,0,0,0,0,10,0,10,0,0,0
mix-H-18,0,0,0,0,80,70,50,0,0,80,0,0,10,100,0,0,0,0,0,0,10,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix-H-19,0,10,30,0,80,50,30,0,20,90,0,0,20,100,0,0,0,0,0,0,20,0,0,0,50,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix-H-20,0,50,20,0,30,40,40,0,10,10,0,0,70,50,0,0,20,0,40,0,0,0,0,0,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0
mix-H-21,0,0,20,0,100,50,0,0,0,10,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix-H-22,0,30,0,0,30,10,80,0,0,0,0,0,20,100,0,0,0,0,0,0,0,0,0,0,60,50,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix-H-23,0,10,0,0,40,20,100,0,0,50,0,0,10,80,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix-H-24,0,20,20,0,0,80,90,0,0,80,0,0,0,100,0,90,40,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix-H-25,0,0,0,0,100,50,20,0,0,80,0,0,60,100,0,0,0,0,0,0,90,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix-H-26,0,20,0,0,80,70,100,0,10,70,0,0,20,90,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,20
mix-H-27,0,0,10,0,90,50,10,0,0,90,0,0,10,100,0,0,0,0,0,0,20,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
