plot,habitat,site,slope,aspect,slope.position,rel.moisture
mix-O-1,Mixedgrass,Onefour,0,270,3,1
mix-O-2,Mixedgrass,Onefour,20,130,1.5,2
mix-O-3,Mixedgrass,Onefour,5,90,1,2
mix-O-4,Mixedgrass,Onefour,5,40,2,1
mix-O-5,Mixedgrass,Onefour,5,130,2,1
mix-O-6,Mixedgrass,Onefour,1,90,3,1
mix-O-7,Mixedgrass,Onefour,8,0,2,2
fes-K-8,Fescue,Kinsella,5,100,3,2
fes-K-9,Fescue,Kinsella,5,160,1.5,3
fes-K-10,Fescue,Kinsella,18,155,2.5,2
fes-K-11,Fescue,Kinsella,12,180,2,1
fes-K-12,Fescue,Kinsella,5,164,3,3
fes-K-13,Fescue,Kinsella,15,220,2.5,3
fes-K-14,Fescue,Kinsella,3,160,3,3
fes-K-15,Fescue,Kinsella,5,160,3,3
fes-K-16,Fescue,Kinsella,6,150,1.5,3
fes-K-17,Fescue,Kinsella,4,140,2.5,2
mix-H-18,Mixedgrass,Hargrave,2.5,45,3,1
mix-H-19,Mixedgrass,Hargrave,7.5,90,2,1
mix-H-20,Mixedgrass,Hargrave,20,0,1.5,1
mix-H-21,Mixedgrass,Hargrave,1.5,180,1,1
mix-H-22,Mixedgrass,Hargrave,6,180,2,2
mix-H-23,Mixedgrass,Hargrave,2.5,45,1.5,2
mix-H-24,Mixedgrass,Hargrave,20,45,2,3
mix-H-25,Mixedgrass,Hargrave,2.5,0,3,1
mix-H-26,Mixedgrass,Hargrave,20,180,2,3
mix-H-27,Mixedgrass,Hargrave,3,315,3,1
