species,SLA,LeafArea,LeafThickness,SLV,LeafTissueDens,SRL,SRV,RootTissueDens,RootDiam
Achillea_millefolium,140.2663209,9.27539,0.416333333,59.56525105,0.018085428,74.14570204,5.03877635,0.255351014,0.31236
Allium_textile,137.7006144,2.445361111,0.914722222,125.6949561,0.008137136,187.854852,14.01375745,0.104998558,0.310783333
Amelanchier_alnifolia,156.1014351,14.06485556,0.29,45.45227314,0.022841232,20.87559975,2.518939394,0.503968254,0.376066667
Androsace_occidentalis,257.20501,0.274745,0.2535,84.22189367,0.017706402,207.4558225,3.291592259,0.407107843,0.114871429
Antennaria_neglecta,171.0441861,1.73199,0.281,48.14441714,0.020920233,124.7339737,6.710526316,0.159375,0.27495
Antennaria_parvifolia,193.8717885,0.3172,0.246666667,47.64151269,0.02104834,44.93859194,4.003997335,0.250416667,0.34955
Arnica_fulgens,235.0338166,4.916716667,0.406666667,94.98758533,0.010532563,15.88176348,3.080182355,0.324830317,0.51545
Arnica_sororia,214.8686131,1.962466667,0.403333333,86.66367397,0.01153886,76.88083333,3.333333333,0.3,0.2433
Artemisia_cana,158.8121837,1.070105,0.424166667,67.55493785,0.015304661,55.91952402,3.999848025,0.261669741,0.31
Artemisia_frigida,155.1104207,0.450410667,0.227333333,36.31913972,0.028698068,74.92121846,3.070401509,0.362103739,0.24786
Artemisia_ludoviciana,216.2282676,2.237170952,0.253142857,54.55591786,0.018593368,61.72463627,4.930281019,0.261122848,0.331685714
Astragalus_agrestis,224.2224128,2.913253333,0.288,61.34028196,0.017416486,20.82529397,2.478977935,0.416287112,0.38865
Astragalus_australis,240.2020202,2.378,0.225,54.04545455,0.018502944,42.98205128,1.538461538,0.65,0.2159
Astragalus_bisulcatus,125.1441648,9.114666667,0.553333333,69.24643783,0.014441176,90.49333333,8.666666667,0.115384615,0.3546
Bouteloua_gracilis,192.8332892,0.584869444,0.20625,38.97512538,0.031839842,88.35631532,2.533950534,0.440533419,0.205358333
Bromus_inermis,180.0911271,12.51633333,0.283333333,51.02581934,0.019597921,88.77433333,2.875,0.347826087,0.2036
Campanula_rotundifolia,282.7578975,0.982054444,0.228888889,66.04946905,0.017543131,536.7006127,7.513071894,0.169907407,0.141566667
Carex_filifolia,108.070203,0.606616667,0.324047619,34.20066015,0.032354532,107.557439,2.14714839,0.510912698,0.181971429
Carex_obtusata,165.6613571,1.38677963,0.193333333,31.63988566,0.032262885,101.4145355,2.126000781,0.571034043,0.165411111
Cerastium_arvense,159.3681444,0.410960833,0.302305556,46.8694494,0.022624332,91.58154988,2.371713523,0.486326636,0.188766667
Chenopodium_album,221.1251527,0.898059762,0.423047619,93.11388653,0.01104696,139.9069405,2.380014701,0.520902391,0.1616
Comandra_umbellata,113.8072731,1.002595,0.37375,41.41570865,0.024524441,31.36179282,8.030880494,0.334821433,0.321385714
Dalea_purpurea,161.0389105,2.759133333,0.243333333,39.18613489,0.02551923,61.28580645,5.161290323,0.19375,0.3316
Danthonia_intermedia,127.7526316,0.8091,0.173333333,22.14378947,0.045159389,15.56514286,1.714285714,0.583333333,0.3774
Descurainia_sophia,347.254902,0.8855,0.29,100.7039216,0.0099301,168.6505263,2.105263158,0.475,0.1259
Draba_nemorosa,183.0082038,0.30064375,0.174166667,38.87728245,0.048751193,271.560156,2.485380117,0.5,0.13435
Elaeagnus_commutata,145.3905746,5.63025,0.3,43.61717237,0.02292675,18.49419118,2.316176471,0.431746032,0.3984
Elymus_lanceolatus,143.1186282,3.066082222,0.305222222,43.11450607,0.025300018,94.78007133,3.424032974,0.30820288,0.221186667
Elymus_repens,182.2608621,3.456633334,0.258888889,47.08297935,0.021570743,66.09675463,3.415920249,0.296679293,0.261966667
Erigeron_glabellus,176.0075506,1.318969444,0.330555555,55.11714029,0.018481828,53.57624225,3.636111236,0.275066354,0.305833333
Erigeron_pumilus,136.7837607,0.97945,0.355,48.46375356,0.020651598,84.55363636,3.333333333,0.3,0.18365
Erysimum_inconspicuum,115.3363561,1.508233333,0.428333333,49.48181367,0.020669129,359.7676816,3.824786325,0.288709678,0.1219
Festuca_hallii,89.58912693,1.596898333,0.456833333,39.68652546,0.025592287,82.94415808,2.310340723,0.499767239,0.20186
Galium_circaezans_var._circaezans,221.5228055,0.4246,0.219791667,48.44459935,0.021500947,172.8382766,4.274781263,0.315984509,0.1779
Gutierrezia_sarothrae,202.4517766,0.79766,0.32,64.78456853,0.015435775,84.66611111,4.444444444,0.225,0.2661
