DATE,TIME,TEMP
18 MAR 2022,08:31,37.4
18 MAR 2022,09:50,37.6
18 MAR 2022,16:10,38.5
18 MAR 2022,20:50,39.1
18 MAR 2022,23:03,38.8
19 MAR 2022,06:50,37.6
19 MAR 2022,09:00,38.6
19 MAR 2022,12:38,37.4
19 MAR 2022,16:40,37.6
19 MAR 2022,21:35,38.2
20 MAR 2022,07:40,37.8
20 MAR 2022,13:05,37.2
20 MAR 2022,18:40,37.6
20 MAR 2022,21:14,37.8
20 MAR 2022,23:00,37.9
21 MAR 2022,07:00,37.2
21 MAR 2022,16:16,36.8
21 MAR 2022,18:24,37.0
21 MAR 2022,21:50,37.1
21 MAR 2022,23:20,36.9
22 MAR 2022,11:55,36.5
22 MAR 2022,16:12,36.7

